title,pubDate,words,voice,primary_cluster,secondary,disposition,Ev,Se,AI,OE,St,Pr,Str,IPS,tier,desc
The Leadership Phase Everyone Skips: Why Investment Matters,"Tue, 17 Dec 2024 11:00:07 GMT",63,hosts,cpm_leadership,,B,9,6,5,4,2,3,7,5.55,T3,"In this episode, we explore the often-overlooked investment phase of leadership development and why it’s critical for creating leaders who can sustain and multiply Kingdom impact. Discover how navigating failure, building character, and redirecting raw initiative transform emerging leaders into trustworthy ones. Learn practical insights and biblical patterns to strengthen your leadership pipeline "
Beyond Influence: What Truly Defines Great Leadership,"Tue, 10 Dec 2024 11:00:07 GMT",72,hosts,cpm_leadership,,B,9,6,5,4,2,3,7,5.55,T3,"It's a crucial question: what makes leadership truly effective? Dave and Mark explore how leadership goes beyond influence, diving into the importance of character development, relational proximity, and the messy, transformative work of mentoring. Through examples from the life of Jesus, they reveal how addressing heart issues shapes leaders who can stand the test of time—so, what does it take to "
Wisdom in Leadership: Navigating Controllables and Uncontrollables,"Tue, 25 Jun 2024 10:01:11 GMT",69,hosts,cpm_leadership,,B,9,6,5,4,2,3,7,5.55,T3,"In this episode we discuss the role of wisdom in leadership, emphasizing the importance of focusing on controllables and leaving the rest to God. Dave and Mark explore the mystery of God's work in the parable of the sower, highlighting the need for faithful stewardship and community contribution. The conversation underscores the challenge of navigating individualism and the necessity of biblical w"
Redeeming Time And Reaching Cities Through Hubs with Guy and Kelli Caskey,"Tue, 28 May 2024 10:00:04 GMT",72,interview/guest,disciple_making,cpm_leadership,B,7,6,4,7,3,4,6,5.55,T3,"Guy and Kelly Caskey join to unpack the importance of redeeming time, creating hubs for collaboration, and being Spirit-led in urban discipleship efforts in Houston. The Caskeys share their experiences of engaging people where they are, transforming lives through relational ministry, and the significance of long-term commitment. Listeners will gain insights into practical strategies for multiplyin"
5. Adaptive Leadership - Navigating Change and Inspiring Growth,"Thu, 18 Apr 2024 10:00:04 GMT",123,hosts,cpm_leadership,disciple_training,B,9,6,5,4,2,3,7,5.55,T3,"Dave Miller and Nathan Elliott explore situational leadership in developing church leaders. They delve into the model's four main situations, stressing the importance of adapting leadership styles to meet individuals' needs. The discussion underscores the value of grit, resilience, and community-focused leadership in fostering effective leaders. Situational leadership requires a balance of directi"
Navigating the Pendulum Swing: Finding Catalytic Momentum,"Tue, 02 Apr 2024 10:00:02 GMT",58,hosts,cpm_leadership,disciple_making|prayer_field,B,8,7,5,4,2,3,7,5.55,T3,"This episode delves into the concept of the pendulum swing between micro and macro approaches in church leadership, emphasizing the need for constant momentum rather than static balance. Jesus exemplified this dynamic by shifting between micro-level engagement and macro-level impact, calling each of us to steward momentum and navigate identity, success definitions, and relationship dynamics amidst"
Embodying Ownership: The Key to Proactive Leadership,"Tue, 16 Jan 2024 11:00:03 GMT",65,hosts,cpm_leadership,,B,9,5,5,4,2,5,7,5.55,T3,"In this episode, Dave and Mark delve into the vital connection between habits, goals, and effective leadership. They explore the importance of being proactive, discussing how starting with even the smallest steps can lead to significant progress in personal and kingdom impact growth. The episode offers insights into overcoming procrastination and setting up systems for success, emphasizing the imp"
Repent and Believe Leaders,"Tue, 30 May 2023 10:00:02 GMT",59,interview/guest,cpm_leadership,,B,8,5,4,7,3,3,7,5.55,T3,"Is repentance a one time action or a pattern of the Christ follower? Dave joins Micah, a young leader in OKC, to talk about the core DNA of repentance and its necessity in the life of a multiplying kingdom leader. ** Show Notes and Resources ** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more at"
A Baptist and a Charismatic Talk Spiritual Gifts (p.1),"Tue, 27 Sep 2022 10:00:02 GMT",68,hosts,disciple_training,,B,9,5,4,5,3,4,7,5.55,T3,"Mark and Dave tackle the beauty of iron sharpening iron when theological backgrounds collide for the benefit of the Kingdom. In this first of two episodes on the topic of spiritual gifts, they share their story in learning from one another and how hearing God is communicated in their different church cultural backgrounds.⁠ Show Notes: Watch and check out Mark's Kingdom Ministry Training Notes and "
Balancing Width and Depth in Disciple Making Movements,"Tue, 12 Oct 2021 10:00:16 GMT",35,hosts,simple_church,cpm_leadership,B,8,7,4,5,3,3,6,5.55,T3,What does it look like to pursue both width of Kingdom expansion and the church health of Kingdom depth? Kenny Fong shares from his story and the unfolding work across Africa to answer this question.
The Two Barriers Quietly Killing Your Momentum,"Tue, 24 Feb 2026 11:00:02 GMT",79,hosts,prayer_field,cpm_leadership,B,9,6,4,4,2,5,6,5.5,T3,"Most disciple-makers don’t quit. They just scatter their energy. In this episode, we name the two hidden barriers that quietly stall multiplication and show you how to break through them in the places you already live, work, and play. You’ll learn how to stop chasing random opportunities and start stewarding real networks over time. If you’ve felt the tension between intention and traction, this c"
How to Actually Have Spiritual Conversations,"Tue, 03 Feb 2026 14:25:13 GMT",77,hosts,gospel,cpm_leadership,B,7,8,4,4,2,4,7,5.5,T3,"Most disciples don’t struggle with belief. They struggle with starting the conversation. In this episode, Mark breaks down the Conversation Box, a simple, repeatable way to move from small talk to real gospel conversations without being awkward or needing to be a natural evangelist. If you’ve ever thought “I wouldn’t know what to say next,” this gives you handles you can actually use this week. Th"
"Start, Strengthen, Sustain: Growing Leaders Who Multiply","Tue, 04 Nov 2025 11:00:09 GMT",85,hosts,cpm_leadership,,B,9,6,4,4,2,4,7,5.5,T3,"In this episode, we explore how leaders multiply when they’re given space to grow in their own backyard. Shawn and Ralana share how leadership scales through hands-on learning, mentoring, and support: invited into family, given a voice, and developed as they navigate the Start → Strengthen → Sustain journey. You’ll see why true multiplication comes from creating environments where leaders do, lear"
Repetition Over Innovation: Why Consistency Wins in 2025,"Tue, 07 Jan 2025 11:00:07 GMT",89,hosts,cpm_leadership,disciple_making|disciple_training,B,7,7,4,4,2,6,7,5.5,T3,"In this episode, we dive into the power of repetition and why it's the key to lasting success in 2025. We explore how consistent reps of simple habits can lead to profound breakthroughs in discipleship, leadership, and ministry. If you're looking for practical ways to stay focused and make steady progress toward your goals, this conversation will help you reframe the mundane into a powerful rhythm"
Building Leaders: Creating Effective Learning Environments,"Tue, 16 Jul 2024 10:00:04 GMT",61,hosts,disciple_training,cpm_leadership,B,9,6,4,4,2,4,7,5.5,T3,"In this episode, Dave and Mark discuss creating effective learning environments to grow disciples and leaders. They emphasize the importance of integrating various learning styles, including hands-on experience and interactive training. They highlight the need for problem-solving environments, real-time feedback, and personal mentorship to develop well-rounded leaders. Balancing structured pathway"
Beyond Entitlement: Cultivating Leadership Grit and Grace,"Tue, 09 Apr 2024 10:00:02 GMT",50,hosts,cpm_leadership,,B,8,7,4,4,2,4,7,5.5,T3,"This episode takes a look into the heart of leadership in today's consumer culture, offering insights and strategies to foster resilience, grit, and grace among church leaders. Dave and Mark talk about how to navigate entitlement mentalities, emphasizing the importance of perseverance and adaptability in the pursuit of impactful leadership."
Navigating the Whirlwind: How to Stay Focused in 2024,"Tue, 09 Jan 2024 11:00:03 GMT",58,hosts,cpm_leadership,,B,6,8,4,4,2,6,7,5.5,T3,"In this episode, Mark and Dave explore the art of staying focused in church leadership and planting. Get practical tips on setting milestones, overcoming distractions, and turning vision into action in 2024. Perfect for leaders and disciple-makers seeking impactful strategies in their ministry before the whirlwind of 2024 hits. *** Show Notes and Resources *** The 3:3:3 Tool:"
"Burning Bright, Not Out: Balancing Urgency and Longevity in Leadership","Tue, 02 Jan 2024 11:00:03 GMT",73,hosts,cpm_leadership,,B,9,6,4,4,2,4,7,5.5,T3,"Mark and Dave discuss the importance of balancing urgency and longevity in Christian leadership, drawing insights from the parable of the Ten Virgins in Matthew 25. They emphasize the necessity of being spiritually prepared and having a deep, personal relationship with Jesus to avoid burnout and ensure sustainable ministry. The conversation highlights the dangers of prioritizing tasks over intimac"
How to Go the Distance: Learning to Mourn,"Tue, 05 Sep 2023 10:00:02 GMT",74,hosts,cpm_leadership,,B,9,6,4,4,2,5,6,5.5,T3,"Every single leader will face it. Every single leader will develop a response, but how we respond determines if we go the distance. This episode is about mourning and our critical need to learn to mourn if we are going to develop God's design to respond to life's challenges. The alternative is that we get taken out because of addiction or bitterness and don't finish the race. Time to lean in and l"
Joy in Suffering - Randy Thorman on Life in Christ,"Tue, 13 Jun 2023 10:00:02 GMT",52,interview/guest,cpm_leadership,disciple_making,B,8,6,4,6,2,3,7,5.5,T3,"Randy Thorman, a CoVo NoPlaceLeft church planter in Pryor, OK, joins Dave to discuss the importance of relying on our identity in Christ amid suffering and difficulties for longevity and consistency in leadership. ** Show Notes and Resources ** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more at"
"Word, Spirit, & Pursuing The Core Missionary Task with Steve Addison","Tue, 23 May 2023 10:00:03 GMT",74,interview/guest,cpm_leadership,,B,7,6,6,6,2,3,6,5.5,T3,"What is the engine room of a movement? In this part 2 interview with Steve Addison, he declares that it is the people of God committed to the core missionary task through the power of the Word and the Spirit. More gold nuggets from Steve's latest book, available now. *** Show Notes and Resources *** Get Steve's new book, ""Acts and the Movement of God from Jerusalem to the Ends of the Earth"" here:"
Keeping Perspective When Starting (or Starting Again),"Tue, 30 Aug 2022 10:00:02 GMT",58,hosts,cpm_leadership,,B,8,7,4,4,2,4,7,5.5,T3,"The core missionary task to multiply disciples, leaders, and churches involves a lot of change in relationships and starting new things. While this can sometimes be energizing, it can also at times cause us to question our core motivations and vision. In this episode, Dave and Mark talk through how we keep perspective when starting (or starting again)."
How to Engage Heart + Hands in Cross Cultural Equipping,"Tue, 27 Jul 2021 10:00:12 GMT",53,hosts,disciple_training,,B,8,6,4,4,2,6,7,5.5,T3,"Our training in entry strategies must be simple enough to engage the hands practically, but catalytic enough to engage the heart with ownership. Learn how we learned from a church planter named Kika to use South Asian Pickle and how you can identify effective cross cultural strategies in where God has called you."
How The New GAPP App Will Increase Kingdom Impact,"Tue, 11 May 2021 10:00:14 GMT",70,hosts,cpm_leadership,,B,9,6,4,4,2,5,6,5.5,T3,"How do you collaborate and coordinate cross culturally with so many churches and missions orgs working towards the common vision to accomplish Matthew 24:14? In short: one new tool emerging is the GAPP app. In this episode, Joel Cox shares progress and how this app can help you multiply disciples and churches. Learn more about the GAPP App and how you can be a part of the Alpha launch at"
"MAWL in Real Life: Ryan, Jereme, And The Path to Multiplication","Tue, 02 Dec 2025 11:00:17 GMT",89,hosts,disciple_training,cpm_leadership|disciple_making,B,9,4,5,4,2,6,7,5.45,T3,"Ryan and Jereme pull back the curtain on how MAWL actually works when you stop treating it like a diagram and start using it in real life. They walk through the messy, honest steps—modeling what they wanted to see, getting in the trenches to assist, backing off to watch people own it, and finally letting them run without hand-holding. You’ll hear the wins, the missteps, and the simple rhythms that"
9 Stages of the Making of a Leader,"Tue, 09 Jul 2024 10:00:06 GMT",60,hosts,cpm_leadership,,B,8,6,5,4,2,4,7,5.45,T3,"This episode explores J. Robert Clinton's book, ""The Making of a Leader,"" which outlines nine stages of leadership growth. From family influence and childhood experiences to education and emerging leadership, discover how God forms leaders. Learn how to recognize your current stage, understand God's work in your life, and respond effectively to become the leader God intends you to be."
"Covo, Single, and the Unreached with Crystal","Tue, 18 Jul 2023 11:00:02 GMT",39,interview/guest,cpm_leadership,,B,8,5,4,7,3,3,6,5.45,T3,"Crystal works as a dentist, lives among unreached people, and takes advantage of the time and focus of her season of singleness in OKC. Join us for an inspiring and honest interview from a muddy boots leader in OKC."
Muddy Boots Leadership with Dave & Mark,"Tue, 04 Apr 2023 10:00:02 GMT",72,hosts,cpm_leadership,disciple_training|prayer_field,B,9,5,4,5,3,3,7,5.45,T3,"What we call a ""muddy boots leader"" emerges from the work in the field and trains others out of experience and not just theory. In this episode, Dave and Mark unpack the concept of the muddy boots leader and how they are identified, developed, and the context in which they must be mentored. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28"
Reaching Muslims in Berlin Through Word & Spirit with David Campbell,"Tue, 07 Feb 2023 11:00:01 GMT",68,interview/guest,disciple_making,,B,9,4,4,7,3,3,6,5.45,T3,"God used David and Keri Campbell to catalyze work among Muslims in Berlin. In this episode, David shares about how God worked by way of Word and Spirit and through their obedience to see new work catalyzed. He goes on to share what success looked like in their time there and how he heard from God when the time came to exit Berlin. 👉Connect with David on Instagram:"
How to Navigate Law & Grace As a Leader,"Tue, 16 Aug 2022 10:00:02 GMT",60,hosts,cpm_leadership,,B,8,6,5,4,2,4,7,5.45,T3,"Moses had to learn to lead with a lot of internal doubt and external pressure and do it in a way that communicated the law of God with the grace of God. In this episode, Dave, Mark and Skip talk through the life of Moses and leadership lessons we can all glean in navigating grace and law as a leader."
"Connect, Communicate, Collaborate, & Contribute","Tue, 14 Jun 2022 10:00:02 GMT",42,hosts,disciple_making,,B,8,7,5,4,2,3,6,5.45,T3,"If we are going to accomplish Jesus's command to His disciples in Acts 1:8 to engage Jerusalem, AND Judea, AND Samaria, AND the ends of the earth, we will have to connect, communicate, collaborate, and contribute. Here's how and why that matters."
How to Fail Forward Faster...Together,"Tue, 05 Apr 2022 10:00:03 GMT",56,hosts,disciple_training,cpm_leadership,B,8,6,5,4,2,5,6,5.45,T3,"Failing forward is a given for seeing the Kingdom advance. And the fastest forward movement in the Kingdom will only happen together in a community of practice where the best ideas win out. In this episode, Dave and Mark unpack what it looks like to fail forward together. Show Notes: 5 Stages of Failing Forward Graphic:"
From Zealous Reformer to Spiritual Father: The Making of an Apostolic Leader,"Tue, 18 Nov 2025 11:00:08 GMT",75,hosts,cpm_leadership,,B,9,6,4,4,2,3,7,5.4,T3,"What shifts a zealous reformer into a true spiritual father? In this episode, Mark unpacks the “fulcrum moments” that transformed Peter and Paul from fiery reformers into grounded apostolic leaders who laid the foundation for multiplying movements. He draws a clear line between their journeys of surrender and the leadership breakthroughs we need today. If you’ve ever wrestled with burnout, overrea"
Buckets and Drips: The Essentials of Effective Training,"Tue, 14 May 2024 10:00:04 GMT",59,hosts,disciple_training,cpm_leadership|disciple_making,B,8,7,4,4,2,3,7,5.4,T3,"Time to delve into the ""bucket and drip"" training methods for disciple-making and church planting. This episode explores how intensive bucket trainings create a vibrant community atmosphere, while ongoing drip trainings offer personalized, practical support to maintain momentum. Join Mark and Dave as they unpack strategies to connect macro and micro efforts, ensuring robust and sustainable multipl"
How Church Becomes The Kingdom Reset Button,"Tue, 08 Aug 2023 10:00:02 GMT",81,hosts,disciple_training,,B,9,6,4,4,2,3,7,5.4,T3,"""Local owners of the core missionary task"" is a phrase we use a lot. That local ownership and the equipping for it happens in the context of church. In this episode, Dave and Mark re-examine methods and process we use to train disciples with that role of church in mind---listen for a few surprising nuggets that will make you stop and re-think. *** Show Notes and Resources *** 👉5 T's Strategy Coord"
Undivided Kingdom: Leveraging All of Our life in Christ,"Tue, 14 Mar 2023 10:00:02 GMT",64,hosts,disciple_making,,B,9,6,4,4,2,4,6,5.4,T3,"How has the sacred secular divide influenced how we live our faith? In this episode Dave discusses the impact of our Union with Christ on our disciple making where we live, work, and play and how the divided kingdoms in our hearts creates unnecessary barriers. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more at"
7 Phases Tool: How to Track Engagement,"Tue, 07 Mar 2023 11:00:02 GMT",87,hosts,disciple_making,,B,9,5,4,4,2,6,6,5.4,T3,"In this episode, Mark and Dave share a tool for tracking engagement progress and unpack how we have used it in our contexts. Download the tool below and check out information on the upcoming Unreached Peoples Conference this September. *** Show Notes and Resources *** 👉7 Phases of Engagement:  👉7 Phases Tracking Tool (Google Spreadsheet):  Open on a desktop computer to use the tool. (Icons will no"
From Addition to Multiplication: Glory Chasers,"Tue, 18 Jan 2022 11:00:02 GMT",62,hosts,cpm_leadership,,B,9,4,4,6,4,3,6,5.4,T3,"It will be done. He is the beginning and the end. The Great Alpha and Omega. There is no room for any theology of me, my, and mine. There is no room for any story except HIStory. He must increase and I must decrease. But when we understand our place in HIStory then, and only then do we find purpose and joy."
How to Assess Teaming Alignment,"Tue, 28 Sep 2021 10:00:15 GMT",58,interview/guest,disciple_making,,B,8,5,4,6,2,5,6,5.4,T3,"When someone wants to join your team or be a part of the work you are engaged in, how do you know if they are a good fit? If there is not alignment of vision, values, and roles, the lack of alignment may end up sabotaging the work. Today we discuss how to assess and find teaming alignment."
How The Clear Path Can Make or Break Multiplication,"Tue, 21 Sep 2021 10:00:12 GMT",55,hosts,cpm_leadership,disciple_making,B,8,7,4,4,2,3,7,5.4,T3,"When leaders have clarity in their discipleship path, they are far more likely to take ownership and multiply disciples and churches. On the other hand--without this clarity, a leadership multiplication cap can form. In this episode we unpack how the clear path in the heart and head of the leader can make or break multiplication."
How the Starfish & Spider Works in Movement Leadership,"Tue, 07 Sep 2021 10:00:16 GMT",48,hosts,cpm_leadership,,B,8,7,4,4,2,3,7,5.4,T3,"The popular movement book, ""Starfish and the Spider"" has some helpful insights for the kind of leaders that catalyze movement and the culture that sustains it. In this episode we unpack the head, heart, and hands of the distributed culture and why command-and-control does not lead to movement."
"How to Find Those Asking the ""How"" Question","Tue, 01 Jun 2021 10:00:14 GMT",37,hosts,disciple_making,,B,8,7,4,4,2,4,6,5.4,T3,"In Mark 4, Jesus describes one of four soils that bears forth fruit. In this episode, we unpack how to find that God-prepared fruitful disciple (and how to have eyes to see where the Kingdom is not)."
The Power of Small Wins: How to Transform Highs into Habits,"Tue, 29 Oct 2024 10:00:02 GMT",57,hosts,disciple_making,,B,8,5,5,4,2,6,6,5.35,T3,"In this episode, we explore how to transform fleeting bursts of motivation into lasting, life-changing habits. What if the secret to sustainable growth lies not in the big highs but in the small, consistent steps? Join us as we dive into practical ways to find joy in the process and unlock the power of long-term impact. 💻"
Embracing the Balance: Generalists and Specialists in Church Planting,"Tue, 06 Aug 2024 11:00:04 GMT",122,hosts,simple_church,,B,9,5,4,5,3,3,6,5.35,T3,"In this episode of the H3X podcast, hosts Mark Goering and Dave Miller dive into the often-overlooked but crucial conversation about the roles of generalists and specialists within teams, especially in the context of church planting and mission work. Recorded in a lively coffee shop in Oklahoma City, the discussion explores the cultural tendency to celebrate specialists while underscoring the impo"
Help! I'm married to a church planter with Ann Miller,"Tue, 12 Mar 2024 11:00:02 GMT",48,interview/guest,cpm_leadership,,B,8,5,5,6,2,3,6,5.35,T3,Join Dave and his wife Ann Miller for a peak behind how she makes the world keep turning while being married to a church planter. 23 years together means they offer some good laughs and a little bit of sage advice for wives and husbands pursuing #NoPlaceLeft together.
"Turn This Ship Around! with Kyle, Carter, Dave, and Mark","Tue, 17 Oct 2023 10:00:02 GMT",72,hosts,cpm_leadership,,B,9,5,5,4,2,3,7,5.35,T3,"Kyle Pierson leads a discussion of the leadership principles found in the book ""Turn the Ship Around!"" a book all about how Captain Marquet transformed a struggling submarine crew by giving them more control and responsibility, instead of micromanaging. The book is a practical guide for leaders who want to empower their teams and foster a culture of ownership and innovation. *** Show Notes and Res"
Navigating a Sea of Movement Acronyms & Orgs,"Tue, 14 Feb 2023 11:00:02 GMT",72,hosts,cpm_leadership,prayer_field,B,9,5,5,4,2,3,7,5.35,T3,"NPL, CPM, DMM... what's the difference and how can you navigate relating to a tribe you're not in? In this episode, Dave and Mark dive into the hot topic of movement acronyms and orgs and bring a lot of perspective and a little clarity to the subject. Listen as we share our stories and even a few definitions. Hope it helps. Show Notes: 👉Garrison on CPM:  👉Watson on DMM:  👉Learning Curve Graph:"
4 Ways to Increase Teaming,"Tue, 07 Jun 2022 10:00:02 GMT",71,hosts,disciple_making,prayer_field,B,9,4,4,5,3,5,6,5.35,T3,"To tackle the TARGET you have been called to, it will take a lot of expressions of TEAMING to move the work forward. In this episode, Dave and Mark unpack 4 ways to increase teaming: Join existing structures, Invite like-minded believers into 4 Fields rhythms, start or collaborate around strategic Projects, and clarify and collaborate around clear Processes. *** Show Notes and Resources *** The Te"
The Parable of the Crosswinds,"Tue, 31 May 2022 10:00:02 GMT",66,hosts,disciple_training,cpm_leadership|disciple_making,B,7,7,5,4,2,3,7,5.35,T3,"Jesus had the biggest TARGET possible: the whole World. Yet He strategically and intentionally focused on multiplying disciple-making leaders. Why? In this episode, we look at Chuck Wood's insight into the ""Parable of the Crosswinds"" and how the model of Jesus must guide our strategic aim in tackling big TARGETS. Show Notes: 👉Chuck's ""Parable of the Crosswinds"" Video:  👉5 T's Strategy Coordinator "
Making Moments Matter: How to Invest in People to Multiply Impact,"Tue, 14 Sep 2021 10:00:10 GMT",45,hosts,prayer_field,cpm_leadership,B,8,6,5,4,2,4,6,5.35,T3,"People are Jesus's strategy for multiplying your time and Kingdom impact. In this episode Dave shares firsthand challenges that face the covocational practitioner that require understanding of this principle, and we go on to unpack specific practical ways you can be more effective in this."
You Don’t Have a Vision Problem. You Have a Habit Problem.,"Tue, 17 Feb 2026 11:30:02 GMT",71,hosts,cpm_leadership,disciple_training|simple_church,B,7,6,4,4,2,6,7,5.3,T3,"You want multiplication, but your calendar keeps producing events. Mark and Dave argue the issue is not vision, it is the daily patterns quietly shaping what people actually become. They show how Jesus built movements by embedding repeatable practices into ordinary life, not by running bigger gatherings. If you feel stuck between strong intention and weak follow through, this conversation will giv"
3. Increase Leadership Capacity - the Trajectory of Brilliance in the Basics,"Thu, 28 Mar 2024 10:00:02 GMT",154,hosts,cpm_leadership,,B,9,5,4,4,2,4,7,5.3,T3,"Change your current leadership results. Problem solving and decision making are core activities of effective leadership. You can increase your leadership capacity through brilliance in the basics, because the trajectory builds your foundational memory. When that foundational memory becomes second nature, your capacity for crucial problem solving and decision making makes you a greater capacity lea"
Beyond Boxes: Embracing Decompartmentalization for Kingdom Multiplication,"Tue, 26 Mar 2024 10:00:02 GMT",61,hosts,gospel,cpm_leadership,B,9,6,4,4,2,3,6,5.3,T3,"Mark and Dave discuss the importance of moving beyond compartmentalization to achieve both micro and macro growth, emphasizing practical application and collaboration. Using examples from the Gospels, they highlight the necessity of adopting an abundance mindset and the power of teamwork in the context of church multiplication, urging listeners to focus on the collective mission rather than indivi"
"Your Disciple Making Needs 3 Things- Process, Community, and Responsibility","Tue, 12 Dec 2023 12:00:03 GMT",63,hosts,disciple_making,,B,9,6,4,4,2,3,6,5.3,T3,"Your disciple making needs 3 things: Process, Community, and Responsibility. In disciple making we are not only looking for followers of Jesus, but followers of Jesus who want to lead in the work of the Kingdom of Jesus. In this episode we discuss the need for a process of disciple making that creates environments of responsibility, rather than simply stopping at content retention."
How to Get to Local Ownership Momentum,"Tue, 07 Nov 2023 11:00:03 GMT",142,hosts,disciple_training,gospel|prayer_field,B,5,8,4,4,2,6,7,5.3,T3,Mark and Dave discusses the importance of finding a balance between micro and macro approaches to working towards local ownership. Identifying high-value activities and the right rhythm for living in both worlds is crucial in making progress towards the desired outcome. They also emphasize the importance of managing one's own work and modeling and calling people down to the dirt of what they need 
Stewarding Multiplication as a Strategy Coordinator with Dave & Mark,"Tue, 20 Jun 2023 10:00:02 GMT",61,hosts,disciple_training,cpm_leadership|simple_church,B,9,5,4,4,2,4,7,5.3,T3,"There is a tension between micro and macro for the stewardship role of the strategy coordinator. In this episode, Dave and Mark unpack the focus on the church planting multiplier and the role of our content and training pathway in developing them. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more at"
Walking in Prophecy & Healing as a Starbucks Barista,"Tue, 21 Mar 2023 10:00:02 GMT",68,interview/guest,disciple_making,simple_church,B,7,6,4,6,2,4,6,5.3,T3,"Dave and Mark interview church planting practitioner Stephen as he shares about his experience walking in healing and prophecy during, among other things, his job at Starbucks. Stay tuned for part 2 in which we continue the conversation around discipleship and the Spirit-led gifts of prophecy, healing, and deliverance. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreache"
How to Partner With God Strategically in Times of Crisis,"Tue, 20 Dec 2022 11:00:02 GMT",48,interview/guest,disciple_making,,B,8,5,4,6,2,4,6,5.3,T3,"From Genesis to Revelation and today around the World, God is using crisis to bring forth His Kingdom. Mary Roberts joins Mark and Dave to share what partnership with God can look like strategically in times of crisis. Show Notes: Learn more and view resources mentioned by Mary:"
How to Create a 5x5 Tracking Card,"Tue, 29 Nov 2022 11:00:02 GMT",62,hosts,disciple_making,,B,9,5,4,4,2,5,6,5.3,T3,"Our target tells us what success looks like and our tracking tells us how we are doing in reaching the target. In this episode, Mark unpacks a simple Google Slide deck you can edit and use to track 5 peoples and 5 places in your city. Show Notes: • 5 T's Overview of The Strategy Coordinator:  • 5x5 Google Slide Deck TEMPLATE:"
3 Things I'm Learning About Reaching Urban Centers,"Tue, 17 May 2022 10:00:03 GMT",65,hosts,disciple_making,,B,9,4,5,5,3,3,6,5.3,T3,"Urban Centers are as old as the Tower of Babel and God's strategy revealed in the redemption of that story as found in Acts 2:36-47 is still what He is doing today. In this episode, Mark shares 3 lessons he is learning about reaching urban centers: (1) People are God's strategy (2) The Elephant must be bite-sized, and (3) It's going to take a miracle."
From Addition to Multiplication: The Glory of God in the Gospel,"Tue, 03 May 2022 10:00:02 GMT",62,hosts,gospel,cpm_leadership,B,9,6,4,4,2,3,6,5.3,T3,"Dave returns to the Emmaus Road to look at the glory of God in the gospel. As Dave unpacks this moment: ""we are not talking about a side-show event or a second chair fiddle: the proclamation of the gospel of Jesus Christ is the focus after the resurrection of Jesus."" Listen in as Dave brings helpful understanding to the role of proclamation."
1-3-9: Training The Generational Multiplication Mindset,"Tue, 07 Dec 2021 11:00:02 GMT",49,hosts,cpm_leadership,disciple_training,B,8,6,4,4,2,4,7,5.3,T3,Movements are sustained by their leaders. And not just any leaders. Movements thrive when led by the kind of movement leaders that make the shift from addition to multiplication. In this episode we unpack the 1-3-9 tool as it relates to training leaders to think in terms of multiplication.
Reaching The Unreached in Cities with Bud Houston,"Tue, 03 Aug 2021 10:00:15 GMT",62,interview/guest,disciple_training,cpm_leadership,B,9,4,4,6,2,3,7,5.3,T3,"Reaching the nations has never been more complex with the growth of urban centers. And, the need for Holy Spirit led strategy to reach segments has never been greater. In this video, Bud Houston unpacks the training he is developing to raise up strategy coordinators to meet that need and tackle the complexity of the task. Get in touch with Bud: bud.houstonba2011@gmail.com"
1. Brilliance in the Basics,"Thu, 07 Mar 2024 12:00:02 GMT",39,hosts,disciple_making,,B,8,5,5,4,2,5,6,5.25,T3,"Major General James N Mattis described his vision of success this way, ""Mastery of the basics was all it would take to whip anybody."" What is the crucial role of core competency habits as the active pathway to maturity?"
How Team Problem Solving Grows Leaders,"Tue, 26 Sep 2023 10:00:02 GMT",71,hosts,prayer_field,cpm_leadership,B,9,5,5,4,2,3,6,5.25,T3,"The Iron on Iron is a helpful problem solving format for developing leaders that can think strategically and problem solve. It has many other side benefits in the ways that it connects leaders to the larger Biblical vision as well as building up networks with ownership of specific DNA and values. In this episode, Dave and Mark unpack the format itself and its collateral benefits. Iron on Iron Form"
The 5 T's of Coordinating Strategy: TARGET,"Tue, 22 Feb 2022 11:00:03 GMT",43,hosts,cpm_leadership,,B,8,6,5,4,2,3,6,5.25,T3,"Join Dave Miller, Will Smith, Kyle Pierson, and Bud Houston as we unpack the 5 T's used by a strategy coordinator to effectively coordinate a multiplying disciples strategy. In this first of 5 episodes, we look at Target to understand ""What is success?"""
Ever Want to Quit? Us Too,"Tue, 26 Oct 2021 10:00:18 GMT",50,hosts,disciple_making,,B,8,6,5,4,2,3,6,5.25,T3,"When you hit the wall and want to quit (everyone does), what do you do? And what is Jesus up to in those moments? Let's talk about the sometimes taboo subject of feeling like you want to quit and the hope in Christ that we cling to in those moments."
